video_id,bib,player_name,cls,split,pos,drafted,official_forty,t_rel_s,yard
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,1.0269,5.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,1.6275,10.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,2.1614,15.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,2.6619,20.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,3.129,25.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,3.5961,30.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,4.0299,35.0
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,4.4303,40.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,0.9963,5.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,1.6303,10.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,2.1642,15.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,2.6647,20.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,3.1318,25.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,3.5989,30.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,4.0327,35.0
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,4.4665,40.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,1.0171,5.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,1.5843,10.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,2.1516,15.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,2.6187,20.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,3.1192,25.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,3.5863,30.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,4.0201,35.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,4.4539,40.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,0.9745,5.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,1.5751,10.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,2.1424,15.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,2.6429,20.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,3.11,25.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,3.5771,30.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,4.0443,35.0
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,4.478,40.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,WR,True,4.35,0.9438,5.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,WR,True,4.35,1.6111,10.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,WR,True,4.35,2.1116,15.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,WR,True,4.35,2.6121,20.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,WR,True,4.35,3.0792,25.0
